SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,EntityType,LOCALE_NAME,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT
"15 - 16 School Year","56","Midland County Educational Service Agency","","All Districts","","All Buildings","ISD","","12296","6366","5930","55","372","252","375","16","11051","175","928","805","811","873","855","816","956","962","942","1070","1145","976","1097","4115","1923","108"
"15 - 16 School Year","58","Monroe ISD","","All Districts","","All Buildings","ISD","","21475","11050","10425","91","143","958","990","5","19016","272","1738","1443","1404","1510","1488","1567","1608","1629","1635","1804","1881","1726","1928","8249","3082","222"
"15 - 16 School Year","59","Montcalm Area ISD","","All Districts","","All Buildings","ISD","","10967","5689","5278","30","54","79","497","14","10072","221","839","732","802","814","807","812","898","809","835","905","950","886","857","5724","1585","184"
"15 - 16 School Year","61","Muskegon Area ISD","","All Districts","","All Buildings","ISD","","27586","14033","13553","170","226","5123","1867","24","19126","1050","2281","2045","2062","2102","2115","2059","2052","2115","2051","2273","2429","1963","1934","16632","3296","450"
"15 - 16 School Year","62","Newaygo County RESA","","All Districts","","All Buildings","ISD","","7633","3963","3670","60","50","98","731","11","6602","81","532","510","540","577","625","593","575","636","593","599","606","556","660","4490","1064","322"
"15 - 16 School Year","63","Oakland Schools","","All Districts","","All Buildings","ISD","","185241","94878","90363","420","14524","38000","10261","161","116419","5456","13029","12863","13128","13723","13703","13585","14114","14214","14177","15344","15898","15153","15331","55451","20780","14221"
"15 - 16 School Year","70","Ottawa Area ISD","","All Districts","","All Buildings","ISD","","48744","25113","23631","108","1505","1026","7737","27","36680","1661","4422","3422","3587","3826","3555","3587","3774","3657","3642","3926","3903","3647","3567","16664","5247","2774"
"15 - 16 School Year","73","Saginaw ISD","","All Districts","","All Buildings","ISD","","27980","14351","13629","68","397","7760","3032","59","16078","586","2100","2035","1992","2041","2041","2145","2072","2106","2075","2579","2321","2167","2082","14527","4020","457"
"15 - 16 School Year","76","Sanilac ISD","","All Districts","","All Buildings","ISD","","6475","3297","3178","10","18","39","295","3","6053","57","486","481","473","433","445","490","501","487","479","604","564","519","498","3462","815","<10"
"15 - 16 School Year","78","Shiawassee Regional ESD","","All Districts","","All Buildings","ISD","","11502","5998","5504","35","47","37","325","7","10770","281","774","781","752","849","799","834","847","885","938","999","1026","924","1035","5205","1685","<10"
"15 - 16 School Year","74","St. Clair County RESA","","All Districts","","All Buildings","ISD","","22970","11895","11075","95","149","1000","966","21","20037","702","1491","1480","1615","1686","1686","1688","1845","1808","1780","1824","2004","1878","2112","8985","2862","162"
"15 - 16 School Year","75","St. Joseph County ISD","","All Districts","","All Buildings","ISD","","10585","5406","5179","12","94","353","1483","5","8247","391","783","759","814","820","856","807","825","825","788","845","847","741","829","5865","1058","880"
"15 - 16 School Year","84","State of Michigan","","All Districts","","All Buildings","ISD","","5979","3160","2819","12","36","5666","127","1","123","14","352","386","322","340","347","306","299","326","310","584","808","703","681","4933","890","105"
"15 - 16 School Year","28","Traverse Bay Area ISD","","All Districts","","All Buildings","ISD","","22105","11377","10728","470","242","214","882","15","19793","489","1611","1499","1609","1586","1685","1628","1771","1749","1669","1756","1848","1750","1813","8462","2772","397"
"15 - 16 School Year","79","Tuscola ISD","","All Districts","","All Buildings","ISD","","8570","4489","4081","36","42","253","365","7","7780","87","652","560","532","576","592","591","615","635","643","872","818","674","728","4629","1352","<10"
"15 - 16 School Year","80","Van Buren ISD","","All Districts","","All Buildings","ISD","","15918","8181","7737","80","111","656","3084","4","11283","700","1242","1107","1108","1218","1162","1216","1228","1192","1199","1362","1315","1198","1285","8064","2077","1615"
"15 - 16 School Year","81","Washtenaw ISD","","All Districts","","All Buildings","ISD","","46252","23762","22490","177","3429","7955","2575","39","29105","2972","3607","3320","3245","3352","3447","3468","3580","3427","3429","3842","3894","3581","3814","13005","5809","2657"
"15 - 16 School Year","82","Wayne RESA","","All Districts","","All Buildings","ISD","","272148","138944","133204","681","9886","112369","21521","146","122229","5316","20632","20885","21089","21250","21118","20649","20829","20920","20903","23322","21799","18989","18322","162329","33423","31807"
"15 - 16 School Year","53","West Shore Educational Service District","","All Districts","","All Buildings","ISD","","7900","4038","3862","40","35","246","1618","2","5672","287","612","575","598","667","581","596","605","595","572","648","607","601","602","4982","1226","794"
"15 - 16 School Year","83","Wexford-Missaukee ISD","","All Districts","","All Buildings","ISD","","8486","4334","4152","41","28","74","270","14","7897","162","723","627","659","627","670","630","637","635","643","703","738","574","594","4751","1074","45"
"15 - 16 School Year","03","Allegan Area Educational Service Agency","03000","Allegan Area Educational Service Agency  - District created from ISD","","All Buildings","ISD District","","379","212","167","2","0","10","37","1","320","9","5","9","8","10","6","4","5","1","11","9","7","5","3","214","158","<10"
"15 - 16 School Year","03","Allegan Area Educational Service Agency","03030","Allegan Public Schools","","All Buildings","LEA District","","2549","1344","1205","18","21","54","155","2","2233","66","199","159","172","171","184","168","206","195","209","226","251","210","186","1295","320","13"
"15 - 16 School Year","03","Allegan Area Educational Service Agency","03050","Fennville Public Schools","","All Buildings","LEA District","","1358","717","641","0","1","25","681","0","617","34","112","106","83","97","109","85","112","101","96","110","118","115","109","947","122","288"
"15 - 16 School Year","03","Allegan Area Educational Service Agency","03440","Glenn Public School District","","All Buildings","LEA District","","32","18","14","0","3","0","2","0","24","3","6","9","5","5","4","3","0","0","0","0","0","0","0","15","<10","<10"
"15 - 16 School Year","03","Allegan Area Educational Service Agency","03070","Hopkins Public Schools","","All Buildings","LEA District","","1626","852","774","16","1","20","39","3","1519","28","146","117","111","126","130","109","130","119","133","119","136","134","112","590","164","10"
"15 - 16 School Year","03","Allegan Area Educational Service Agency","03900","Innocademy Allegan Campus","","All Buildings","PSA District","","87","42","45","0","1","4","23","0","49","10","15","10","10","18","10","11","13","0","0","0","0","0","0","63","<10","<10"
"15 - 16 School Year","03","Allegan Area Educational Service Agency","03060","Martin Public Schools","","All Buildings","LEA District","","566","287","279","1","4","5","47","0","495","14","34","40","38","49","45","44","45","43","43","46","53","48","33","269","74","17"
"15 - 16 School Year","03","Allegan Area Educational Service Agency","03020","Otsego Public Schools","","All Buildings","LEA District","","2266","1171","1095","3","22","23","73","1","2089","55","166","155","171","179","176","175","164","180","162","205","161","187","168","766","185","<10"
"15 - 16 School Year","03","Allegan Area Educational Service Agency","03902","Outlook Academy","","All Buildings","PSA District","","48","39","9","0","0","6","5","0","35","2","0","0","0","0","0","0","0","2","7","15","7","13","4","38","12","<10"
"15 - 16 School Year","03","Allegan Area Educational Service Agency","03010","Plainwell Community Schools","","All Buildings","LEA District","","2744","1408","1336","5","25","41","132","5","2501","35","213","184","196","209","198","198","224","188","222","211","230","191","265","968","235","<10"
"15 - 16 School Year","03","Allegan Area Educational Service Agency","03040","Wayland Union Schools","","All Buildings","LEA District","","2944","1472","1472","49","25","34","139","4","2629","64","309","245","229","206","221","199","186","228","205","250","232","226","191","1163","325","18"
"15 - 16 School Year","04","Alpena-Montmorency-Alcona ESD","01010","Alcona Community Schools","","All Buildings","LEA District","","732","373","359","5","2","8","17","0","690","10","56","54","44","59","59","44","56","54","62","56","60","58","70","472","68","<10"
"15 - 16 School Year","04","Alpena-Montmorency-Alcona ESD","04010","Alpena Public Schools","","All Buildings","LEA District","","3937","1997","1940","24","20","22","61","1","3727","82","295","274","258","266","270","263","287","277","317","381","412","309","328","2215","420","21"
"15 - 16 School Year","04","Alpena-Montmorency-Alcona ESD","04000","Alpena-Montmorency-Alcona ESD  - District created from ISD","","All Buildings","ISD District","","263","142","121","0","1","0","4","2","249","7","4","1","1","1","2","3","1","0","1","1","2","2","3","167","48","<10"
"15 - 16 School Year","04","Alpena-Montmorency-Alcona ESD","60010","Atlanta Community Schools","","All Buildings","LEA District","","258","148","110","2","0","3","6","1","238","8","18","22","21","14","23","20","22","18","24","15","22","20","19","151","50","<10"
"15 - 16 School Year","04","Alpena-Montmorency-Alcona ESD","60020","Hillman Community Schools","","All Buildings","LEA District","","475","260","215","5","4","1","8","0","452","5","26","38","43","38","33","36","34","31","42","46","45","31","32","285","49","<10"
"15 - 16 School Year","08","Barry ISD","08000","Barry ISD  - District created from ISD","","All Buildings","ISD District","","193","104","89","2","0","1","6","0","182","2","3","2","1","5","4","2","1","1","0","1","1","0","2","72","58","<10"
"15 - 16 School Year","08","Barry ISD","08010","Delton Kellogg Schools","","All Buildings","LEA District","","1307","642","665","6","3","11","36","0","1225","26","73","83","73","91","96","113","106","96","98","112","113","102","144","641","189","<10"
"15 - 16 School Year","08","Barry ISD","08030","Hastings Area School District","","All Buildings","LEA District","","2675","1373","1302","19","13","16","111","3","2474","39","247","171","197","184","170","202","199","228","186","237","209","207","238","1224","381","29"
"15 - 16 School Year","09","Bay-Arenac ISD","06010","Arenac Eastern School District","","All Buildings","LEA District","","162","82","80","5","0","1","10","0","144","2","9","8","13","17","5","8","9","11","19","22","12","12","17","122","25","<10"
"15 - 16 School Year","09","Bay-Arenac ISD","06020","Au Gres-Sims School District","","All Buildings","LEA District","","386","223","163","4","1","3","11","0","361","6","19","29","37","26","30","24","17","29","27","34","41","30","43","227","30","<10"
"15 - 16 School Year","09","Bay-Arenac ISD","09030","Bangor Township Schools","","All Buildings","LEA District","","2511","1262","1249","4","19","49","147","1","2226","65","163","168","158","159","189","159","238","206","179","235","226","213","218","1309","301","<10"
"15 - 16 School Year","09","Bay-Arenac ISD","09903","Bay City Academy","","All Buildings","PSA District","","408","218","190","2","0","17","33","0","332","24","28","45","49","49","51","37","36","29","31","11","19","13","10","284","51","<10"
"15 - 16 School Year","09","Bay-Arenac ISD","09010","Bay City School District","","All Buildings","LEA District","","7941","4079","3862","65","54","289","642","2","6571","318","524","563","564","644","634","611","581","606","605","813","634","532","630","3853","1146","140"
"15 - 16 School Year","09","Bay-Arenac ISD","09901","Bay-Arenac Community High School","","All Buildings","PSA District","","185","104","81","4","1","7","32","0","132","9","0","0","0","0","0","0","0","0","0","42","65","34","44","98","37","<10"
"15 - 16 School Year","09","Bay-Arenac ISD","09000","Bay-Arenac ISD  - District created from ISD","","All Buildings","ISD District","","886","516","370","7","0","33","70","0","747","29","15","12","13","7","11","13","14","19","24","14","11","12","11","524","386","<10"
"15 - 16 School Year","09","Bay-Arenac ISD","09050","Essexville-Hampton Public Schools","","All Buildings","LEA District","","1694","909","785","0","11","35","66","0","1557","25","111","117","104","101","124","131","155","151","148","153","133","127","139","530","186","<10"
"15 - 16 School Year","09","Bay-Arenac ISD","09090","Pinconning Area Schools","","All Buildings","LEA District","","1296","670","626","7","4","13","44","1","1195","32","114","89","94","98","95","92","76","119","91","103","116","110","99","719","163","<10"
"15 - 16 School Year","09","Bay-Arenac ISD","06050","Standish-Sterling Community Schools","","All Buildings","LEA District","","1584","803","781","23","3","10","18","0","1518","12","132","97","110","118","136","124","128","124","132","117","113","123","130","896","166","<10"
"15 - 16 School Year","09","Bay-Arenac ISD","09902","State Street Academy","","All Buildings","PSA District","","150","84","66","0","2","12","14","0","120","2","42","31","26","16","18","17","0","0","0","0","0","0","0","104","19","<10"
"15 - 16 School Year","11","Berrien RESA","11010","Benton Harbor Area Schools","","All Buildings","LEA District","","2213","1160","1053","6","1","2025","92","8","51","30","225","186","181","180","160","160","158","186","173","191","213","107","93","1851","306","82"
"15 - 16 School Year","11","Berrien RESA","11903","Benton Harbor Charter School Academy","","All Buildings","PSA District","","447","234","213","0","0","417","21","0","5","4","79","68","75","51","54","38","40","22","20","0","0","0","0","444","19","<10"
"15 - 16 School Year","11","Berrien RESA","11000","Berrien RESA  - District created from ISD","","All Buildings","ISD District","","855","508","347","2","15","235","61","0","517","25","23","7","14","18","17","24","19","19","35","21","45","26","15","429","374","<10"
"15 - 16 School Year","11","Berrien RESA","11240","Berrien Springs Public Schools","","All Buildings","LEA District","","3212","1576","1636","22","105","609","460","15","1780","221","134","121","134","147","144","135","141","156","167","684","585","429","231","1939","193","278"
"15 - 16 School Year","11","Berrien RESA","11210","Brandywine Community Schools","","All Buildings","LEA District","","1359","691","668","7","10","49","83","1","1124","85","113","107","94","102","95","107","115","100","114","104","116","102","90","837","146","48"
"15 - 16 School Year","11","Berrien RESA","11340","Bridgman Public Schools","","All Buildings","LEA District","","952","459","493","2","10","16","34","0","853","37","97","53","62","68","76","71","86","63","58","75","78","80","85","331","111","14"
"15 - 16 School Year","11","Berrien RESA","11310","Buchanan Community Schools","","All Buildings","LEA District","","1563","824","739","8","8","78","49","0","1322","98","112","110","111","124","114","110","129","111","128","114","137","122","123","700","169","18"
"15 - 16 School Year","11","Berrien RESA","11330","Coloma Community Schools","","All Buildings","LEA District","","1550","829","721","7","2","155","159","2","1105","120","94","98","108","105","104","94","136","113","130","162","186","109","111","988","159","50"
"15 - 16 School Year","11","Berrien RESA","11901","Countryside Academy","","All Buildings","PSA District","","663","341","322","0","2","332","126","0","178","25","77","62","44","58","55","56","57","56","54","42","48","29","25","563","61","94"
"15 - 16 School Year","11","Berrien RESA","11250","Eau Claire Public Schools","","All Buildings","LEA District","","832","428","404","1","3","186","304","0","300","38","53","62","71","64","67","70","66","56","57","65","85","56","60","704","53","151"
"15 - 16 School Year","11","Berrien RESA","11670","Hagar Township S/D #6","","All Buildings","LEA District","","77","41","36","3","0","11","4","2","54","3","16","11","4","13","8","6","8","8","3","0","0","0","0","55","<10","<10"
"15 - 16 School Year","11","Berrien RESA","11030","Lakeshore School District (Berrien)","","All Buildings","LEA District","","2765","1437","1328","13","79","123","192","4","2243","111","194","190","190","201","206","214","230","218","226","242","221","223","210","718","259","142"
"15 - 16 School Year","11","Berrien RESA","11904","Mildred C. Wells Preparatory Academy","","All Buildings","PSA District","","183","93","90","0","0","175","5","0","3","0","23","33","21","25","16","30","24","11","0","0","0","0","0","178","16","<10"
"15 - 16 School Year","11","Berrien RESA","11200","New Buffalo Area Schools","","All Buildings","LEA District","","610","322","288","2","8","19","44","0","520","17","35","35","35","45","41","47","42","48","43","62","59","55","63","263","63","18"
"15 - 16 School Year","11","Berrien RESA","11300","Niles Community Schools","","All Buildings","LEA District","","3740","1930","1810","25","28","365","337","6","2698","281","316","246","278","278","307","266","251","257","265","370","321","261","245","2300","507","120"
"15 - 16 School Year","11","Berrien RESA","11033","River Valley School District","","All Buildings","LEA District","","563","308","255","8","4","1","26","0","501","23","44","50","36","48","46","45","40","43","50","39","51","30","41","279","89","16"
"15 - 16 School Year","11","Berrien RESA","11830","Sodus Township S/D #5","","All Buildings","LEA District","","68","28","40","0","0","8","11","0","44","5","5","13","3","10","7","12","4","7","7","0","0","0","0","44","<10","<10"
"15 - 16 School Year","11","Berrien RESA","11020","St. Joseph Public Schools","","All Buildings","LEA District","","2930","1520","1410","14","150","198","117","6","2364","81","221","197","188","210","223","188","228","228","249","240","257","250","240","784","193","56"
"15 - 16 School Year","11","Berrien RESA","11320","Watervliet School District","","All Buildings","LEA District","","1443","700","743","15","5","28","181","3","1152","59","121","95","103","96","109","110","119","117","88","124","129","119","113","884","128","123"
"15 - 16 School Year","12","Branch ISD","12000","Branch ISD  - District created from ISD","","All Buildings","ISD District","","580","338","242","1","2","7","57","1","504","8","6","11","8","19","20","13","29","18","18","42","29","20","7","261","296","<10"
"15 - 16 School Year","12","Branch ISD","12020","Bronson Community School District","","All Buildings","LEA District","","1055","560","495","1","3","6","202","0","832","11","83","100","81","81","92","88","76","80","52","89","90","82","61","593","74","101"
"15 - 16 School Year","12","Branch ISD","12010","Coldwater Community Schools","","All Buildings","LEA District","","2710","1357","1353","7","38","20","205","0","2406","34","254","196","201","195","189","181","212","210","195","204","207","204","262","1321","186","397"
"15 - 16 School Year","12","Branch ISD","12901","Pansophia Academy","","All Buildings","PSA District","","426","214","212","2","0","1","65","0","350","8","45","40","35","37","44","37","23","28","44","29","19","24","21","426","40","58"
"15 - 16 School Year","12","Branch ISD","12040","Quincy Community Schools","","All Buildings","LEA District","","1213","608","605","3","12","4","36","0","1143","15","109","85","81","108","92","95","87","90","99","99","87","96","85","600","107","<10"
"15 - 16 School Year","72","C.O.O.R. ISD","65900","Alternative Educational Academy of Ogemaw County","","All Buildings","PSA District","","117","62","55","1","0","0","4","0","109","3","0","0","0","0","0","0","0","1","4","27","24","37","24","98","<10","<10"
"15 - 16 School Year","72","C.O.O.R. ISD","72000","C.O.O.R. ISD  - District created from ISD","","All Buildings","ISD District","","342","184","158","3","0","5","2","0","328","4","1","0","4","4","5","2","4","3","5","3","6","6","8","195","81","<10"
"15 - 16 School Year","72","C.O.O.R. ISD","72901","Charlton Heston Academy","","All Buildings","PSA District","","484","259","225","1","2","3","14","0","457","7","36","42","49","60","51","37","34","30","33","38","36","38","0","369","53","<10"
"15 - 16 School Year","72","C.O.O.R. ISD","20015","Crawford AuSable Schools","","All Buildings","LEA District","","1585","824","761","5","21","7","61","4","1446","41","120","115","130","110","134","98","121","127","105","139","147","133","101","879","219","<10"
"15 - 16 School Year","72","C.O.O.R. ISD","68030","Fairview Area School District","","All Buildings","LEA District","","292","153","139","0","1","2","2","0","287","0","20","23","23","22","24","19","28","23","23","17","24","28","18","205","59","<10"
"15 - 16 School Year","72","C.O.O.R. ISD","72020","Houghton Lake Community Schools","","All Buildings","LEA District","","1320","688","632","10","6","21","21","2","1260","0","87","91","75","108","90","108","96","73","87","121","158","97","117","990","231","<10"
"15 - 16 School Year","72","C.O.O.R. ISD","68010","Mio-AuSable Schools","","All Buildings","LEA District","","526","295","231","1","2","2","10","0","507","4","37","31","34","39","46","32","52","36","47","53","47","35","37","333","88","<10"
"15 - 16 School Year","72","C.O.O.R. ISD","72010","Roscommon Area Public Schools","","All Buildings","LEA District","","1036","556","480","14","5","6","25","1","966","19","58","75","68","58","83","73","83","87","79","98","103","87","82","555","177","<10"
